Language;Category;Level;Question;Option1;Option2;Option3;Option4;CorrectAnswer;Difficulty
C#;Methods;Beginner;Mi a delegate szerepe a metódusoknál?;Egy metódus referenciájának tárolása;Metódus futásának megszakítása;Metódus implementálása;Egyik sem;Egy metódus referenciájának tárolása;2
C#;Methods;Beginner;Milyen metódusok lehetnek absztraktak?;Csak az osztály absztrakt metódusai;Bármilyen metódus;Csak public metódusok;Egyik sem;Csak az osztály absztrakt metódusai;2
C#;DataStructures;Beginner;Hogyan iterálhatsz egy listán?;foreach ciklussal;while ciklussal;if utasítással;Egyik sem;foreach ciklussal;2
C#;DataStructures;Beginner;Mi a sor (queue) használati esete?;FIFO adatfeldolgozás;LIFO adatfeldolgozás;Adatrendezés;Egyik sem;FIFO adatfeldolgozás;2
C#;DataStructures;Beginner;Melyik C# gyûjtemény a legjobb kulcs-érték párokhoz?;Dictionary;List;Array;Queue;Dictionary;2
Java;Type;Beginner;Mi az int alapértelmezett értéke Java-ban?;0;;-1;Egyik sem;0;2
Java;Type;Beginner;Melyik típus képviseli a karakterláncot Java-ban?;String;char;text;Array;String;2
Java;Type;Beginner;Melyik típus nem primitív Java-ban?;String;int;float;double;String;2
Java;Type;Beginner;Mit jelent a boxing Java-ban?;Értéktípus átalakítása objektummá;Objektum lebontása;Tömb inicializálása;Egyik sem;Értéktípus átalakítása objektummá;2
Java;Type;Beginner;Mi az int alapértelmezett értéke Java-ban?;0;;-1;Egyik sem;0;2
Java;Type;Beginner;Melyik típus nem primitív Java-ban?;String;int;float;double;String;2
Java;Loop;Beginner;Mit jelent a nested loop?;Ciklus egy másik ciklusban;Egy ciklus megszakítása;Egy ciklus újraindítása;Nincs ilyen fogalom;Ciklus egy másik ciklusban;2
Java;Loop;Beginner;Hogyan kezdhetsz új iterációt egy Java ciklusban?;continue;break;return;switch;continue;2
Java;Loop;Beginner;Mi a break utasítás célja a ciklusokban?;Kilépés a ciklusból;Újraindítja a ciklust;Megállítja a ciklust;Egyik sem;Kilépés a ciklusból;2
Java;OOP;Beginner;Mi az enkapszuláció Java-ban?;Az adatok és metódusok elrejtése;Metódusok és tulajdonságok egyesítése;Osztályok öröklése;Polimorfizmus;Az adatok és metódusok elrejtése;2
Java;OOP;Beginner;Mit jelent az abstract kulcsszó Java-ban?;Az osztály nem példányosítható;Az osztály privát;Az osztály minden metódusa implementált;Egyik sem;Az osztály nem példányosítható;2
Java;OOP;Beginner;Mit jelent a final kulcsszó egy osztályon?;Az osztály nem örökölhetõ;Az osztály nem módosítható;Az osztály nem példányosítható;Egyik sem;Az osztály nem örökölhetõ;2
Java;OOP;Beginner;Hogyan definiálsz egy absztrakt metódust Java-ban?;Az abstract kulcsszóval;A static kulcsszóval;A private kulcsszóval;Egyik sem;Az abstract kulcsszóval;2
Java;OOP;Beginner;Mi az interfész Java-ban?;Egy szerzõdés az osztályok számára;Egy osztály típusa;Egy statikus metódus;Egyik sem;Egy szerzõdés az osztályok számára;2
Java;Methods;Beginner;Hogyan deklarálsz statikus metódust Java-ban?;A static kulcsszóval;A final kulcsszóval;A const kulcsszóval;Egyik sem;A static kulcsszóval;2
Java;Methods;Beginner;Mit jelent a void visszatérési típus Java-ban?;Nem ad vissza értéket;Null értéket ad vissza;Egyik sem;Hibát dob;Nem ad vissza értéket;2
Java;Methods;Beginner;Mit jelent az args paraméter a main metódusban?;Parancssori argumentumok;Változó argumentumok;Konstansok;Egyik sem;Parancssori argumentumok;2
Java;DataStructures;Beginner;Melyik Java gyûjtemény garantálja az elemek sorrendjét?;ArrayList;HashMap;HashSet;PriorityQueue;ArrayList;2
Java;DataStructures;Beginner;Melyik Java gyûjtemény tárolja kulcs-érték párokat?;HashMap;ArrayList;LinkedList;Vector;HashMap;2
Java;DataStructures;Beginner;Melyik Java gyûjtemény nem engedélyez duplikátumokat?;HashSet;ArrayList;LinkedList;Queue;HashSet;2
Javascript;Type;Beginner;Hogyan hozol létre állandó változót JavaScript-ben?;A 'const' kulcsszóval;A 'let' kulcsszóval;A 'final' kulcsszóval;A 'static' kulcsszóval;A 'const' kulcsszóval;3
Javascript;Type;Beginner;Mi a különbség a 'let' és a 'var' között?;'let' blokkszintû, 'var' függvényszintû;'let' csak egyszer használható;'var' nem inicializálható;Egyik sem;'let' blokkszintû, 'var' függvényszintû;3
Javascript;Type;Beginner;Hogyan hozol létre állandó változót JavaScript-ben?;A 'const' kulcsszóval;A 'let' kulcsszóval;A 'final' kulcsszóval;A 'static' kulcsszóval;A 'const' kulcsszóval;3
Javascript;Type;Beginner;Mit jelent a null érték JavaScript-ben?;Egy üres objektum;Egy nem inicializált objektum;Egy üres változó;Egyik sem;Egy üres objektum;3
Javascript;Loop;Beginner;Melyik ciklus biztosítja, hogy legalább egyszer lefut?;do-while;while;for;foreach;do-while;3
Javascript;Loop;Beginner;Mit jelent a nested loop?;Ciklus egy másik ciklusban;Egy ciklus megszakítása;Egy ciklus újraindítása;Nincs ilyen fogalom;Ciklus egy másik ciklusban;3
Javascript;Loop;Beginner;Melyik ciklus biztosítja, hogy legalább egyszer lefut?;do-while;while;for;foreach;do-while;3
Javascript;Loop;Beginner;Hogyan definiálhatsz végtelen ciklust JavaScript-ben?;while(true);"for(;;)";Mindkettõ;Egyik sem;while(true);3
Javascript;OOP;Beginner;Mi a célja az öröklésnek JavaScript-ben?;Kód újrafelhasználása;Új osztály létrehozása;Osztályok másolása;Egyik sem;Kód újrafelhasználása;3
Javascript;OOP;Beginner;Mit jelent a prototype lánc?;Egy mechanizmus az objektumok öröklésére;Egy metódus túlterhelésére;Egy új objektum inicializálására;Egyik sem;Egy mechanizmus az objektumok öröklésére;3
Javascript;OOP;Beginner;Mit jelent a constructor metódus?;Egy osztály inicializáló metódusa;Egy statikus metódus;Egy privát metódus;Egyik sem;Egy osztály inicializáló metódusa;3
Javascript;OOP;Beginner;Mit jelent az instanceof operátor JavaScript-ben?;Ellenõrzi, hogy egy objektum egy adott osztály példánya-e;Egy új osztály létrehozását;Egy objektum inicializálását;Egyik sem;Ellenõrzi, hogy egy objektum egy adott osztály példánya-e;3
Javascript;OOP;Beginner;Mit jelent a constructor metódus?;Egy osztály inicializáló metódusa;Egy statikus metódus;Egy privát metódus;Egyik sem;Egy osztály inicializáló metódusa;3
Javascript;OOP;Beginner;Mi a célja az öröklésnek JavaScript-ben?;Kód újrafelhasználása;Új osztály létrehozása;Osztályok másolása;Egyik sem;Kód újrafelhasználása;3
Javascript;Methods;Beginner;Mit jelent a callback függvény?;Egy függvény, amelyet egy másik függvény argumentumként hív meg;Egy metódus, amely mindig true-t ad vissza;Egy statikus függvény;Egyik sem;Egy függvény, amelyet egy másik függvény argumentumként hív meg;3
Javascript;Methods;Beginner;Hogyan hívsz meg egy metódust egy objektumban?;Az objektum neve és a metódus neve ponttal elválasztva;A metódus neve zárójel nélkül;A metódus neve zárójelekkel;Egyik sem;Az objektum neve és a metódus neve ponttal elválasztva;3
Javascript;Methods;Beginner;Mit jelent a callback függvény?;Egy függvény, amelyet egy másik függvény argumentumként hív meg;Egy metódus, amely mindig true-t ad vissza;Egy statikus függvény;Egyik sem;Egy függvény, amelyet egy másik függvény argumentumként hív meg;3
Javascript;Methods;Beginner;Hogyan biztosítod, hogy egy függvény mindig ugyanazt az értéket adja vissza?;Tisztán funkcionális (pure function);Statikus metódussal;Privát változóval;Egyik sem;Tisztán funkcionális (pure function);3
Javascript;Methods;Beginner;Hogyan definiálsz egy nyílfüggvényt (arrow function)?;() => {};function() {};=> function();function => {};() => {};3
Javascript;Methods;Beginner;Hogyan ellenõrzöd, hogy egy változó függvény-e?;typeof var === 'function';typeof var === 'object';var instanceof Function;Mindkettõ helyes;typeof var === 'function';3
Javascript;Methods;Beginner;Mit csinál az apply metódus?;Egy függvényt meghív egy adott argumentumlistával;Egy függvényt lemásol;Egy új függvényt hoz létre;Egyik sem;Egy függvényt meghív egy adott argumentumlistával;3
Javascript;DataStructures;Beginner;Mit jelent a stack viselkedése?;LIFO (Last In, First Out);FIFO (First In, First Out);Rendezés;Egyik sem;LIFO (Last In, First Out);3
Javascript;DataStructures;Beginner;Melyik adatszerkezet nem engedélyez duplikált elemeket?;Set;Array;Map;Object;Set;3
Javascript;DataStructures;Beginner;Hogyan számolod meg egy Map elemeit?;map.size;map.length;map.count();map.getSize();map.size;3
Python;Type;Beginner; Mi a type(3) kimenete Pythonban?; int; float; str; list; int;0
Python;Type;Beginner; Mi a 3.14 típusa Pythonban?; int; float; str; list; float;0
Python;Type;Beginner; Mi a str(3.14) kimenete Pythonban?; '3.14'; '3'; '3,14'; 'három'; '3.14';0
Python;Type;Beginner; Melyik a helyes szintaxis egy lista létrehozásához Pythonban?; my_list = [1, 2, 3];my_list = (1, 2, 3);my_list = {1, 2, 3};my_list = <1, 2, 3>;my_list = [1, 2, 3];0
Python;Type;Beginner; Mi a következõ  kód kimenete? print(type(42)); <class 'int'>; <class 'str'>; <class 'float'>; <class 'bool'>; <class 'int'>;0
Python;Type;Beginner;" Mi a következõ  kód kimenete? print(type(""Hello""))"; <class 'str'>; <class 'int'>; <class 'float'>; <class 'bool'>; <class 'str'>;0
Python;Type;Beginner; Mi a következõ  kód kimenete? print(type(True)); <class 'bool'>; <class 'int'>; <class 'str'>; <class 'float'>; <class 'bool'>;0
Python;Type;Beginner; Mi a következõ  kód kimenete? print(type([1, 2, 3])); <class 'list'>;<class 'tuple'>;<class 'set'>;<class 'dict'>;<class 'list'>;0
Python;Loop;Beginner; Melyik ciklust használjuk egy sorozat bejárására Pythonban?; for; while; do-while; foreach; for;0
Python;Loop;Beginner; Hogyan hozol létre egy végtelen ciklust Pythonban?; while True:; for True:; do-while True:; loop:; while True:;0
Python;Loop;Beginner; Melyik kulcsszót használjuk egy ciklus megszakítására Pythonban?; break; continue; stop; exit; break;0
Python;Loop;Beginner; Melyik kulcsszót használjuk egy ciklus következõ  iterációjára ugrásra Pythonban?; continue; break; pass; skip; continue;0
Python;Loop;Beginner; Mi a következõ  kód kimenete? for i in range(2, , 5): print(i); 2 3 4; 2 3 4 5; 1 2 3 4; 3 4 5; 2 3 4;0
Python;Loop;Beginner; Mi a következõ  kód kimenete? i = 0 while i < 4: print(i) i += 1; 0 1 2 3; 1 2 3 4; 0 1 2 3 4; 1 2 3; 0 1 2 3;0
Python;Loop;Beginner; Mi a következõ  kód kimenete? for i in range(3): print(i); 0 1 2; 1 2 3; 0 1 2 3; 1 2; 0 1 2;0
Python;Loop;Beginner; Mi a következõ  kód kimenete? i = 0 while i < 3: print(i) i += 1; 0 1 2; 1 2 3; 0 1 2 3; 1 2; 0 1 2;0
Python;OOP;Beginner; Hogyan definiálsz egy osztályt Pythonban?; class MyClass:; def MyClass:; MyClass(); define class MyClass; class MyClass:;0
Python;OOP;Beginner; Hogyan hozol létre egy osztálypéldányt Pythonban?; my_instance = MyClass(); my_instance = MyClass; my_instance = new MyClass(); my_instance = create MyClass(); my_instance = MyClass();0
Python;OOP;Beginner; Mi a self kulcsszó Pythonban?; Az aktuális példány hivatkozása; Egy globális változó; Egy statikus metódus; Egy modul; Az aktuális példány hivatkozása;0
Python;OOP;Beginner; Hogyan hozol létre egy privát változót Pythonban?; __my_var; my_var; _my_var; priv my_var; __my_var;0
Python;OOP;Beginner; Mi a következõ  kód kimenete? class MyClass: pass obj = MyClass() print(type(obj)); <class '__main__.MyClass'>; <class 'type'>; <class 'object'>; <class 'MyClass'>; <class '__main__.MyClass'>;1
Python;OOP;Beginner; Hogyan hozol létre egy osztályt Pythonban?; class MyClass:; def MyClass:; create MyClass:; osztály MyClass:; class MyClass:;1
Python;OOP;Beginner; Mi a következõ  kód kimenete? class MyClass: def __init__(self): self.x = 10 obj = MyClass() print(obj.x);10;0; None; Error;10;1
Python;OOP;Beginner; Hogyan hívsz meg egy osztály metódusát egy példányból Pythonban?; obj.method(); class.method(); method(obj); method(); obj.method();1
Python;Methods;Beginner; Hogyan definiálsz egy metódust Pythonban?; def my_method(self):; method my_method(self):; function my_method(self):; define my_method(self):; def my_method(self):;1
Python;Methods;Beginner; Hogyan hívsz meg egy metódust Pythonban?; my_method(); call my_method(); execute my_method(); run my_method(); my_method();1
Python;Methods;Beginner; Mi a helyes szintaxis egy metódus visszatérési értékének meghatározásához Pythonban?; return value; return(value); value return; value; return value;1
Python;Methods;Beginner; Hogyan határozol meg egy alapértelmezett paraméterértéket egy metódusban Pythonban?; def my_method(param=default):; def my_method(param: default); def my_method(param default); def my_method(default=param):; def my_method(param=default):;1
Python;Methods;Beginner;" Mi a következõ  kód kimenete? def say_hello(name): print(""Hello "" + name) say_hello(""John"")"; Hello John; Hello, John; Hello + name; Error; Hello John;1
Python;Methods;Beginner; Hogyan határozol meg egy metódust paraméterekkel Pythonban?;def method_name(param1, param2):;function method_name(param1, param2):;define method_name(param1, param2):;create method_name(param1, param2):;def method_name(param1, param2):;1
Python;Methods;Beginner;" Mi a következõ  kód kimenete? def greet(): print(""Hello"") greet()"; Hello; Error; None; Hi; Hello;1
Python;Methods;Beginner; Hogyan definiálsz egy metódust Pythonban?; def method_name():; function method_name():; define method_name():; create method_name():; def method_name():;1
Python;DataStructures;Beginner; Melyik a következõ  adatszerkezetek közül módosítható Pythonban?; lista; tuple; string; int; lista;1
Python;DataStructures;Beginner; Mi az a tuple Pythonban?; Egy változatlan elemek sorozata; Egy módosítható elemek sorozata; Egy kulcs-érték párok gy?jteménye; Egy függvény több visszatérési értékkel; Egy változatlan elemek sorozata;1
Python;DataStructures;Beginner; Hogyan adsz hozzá egy elemet egy listához Pythonban?; my_list.append(element); my_list.add(element); my_list.insert(element); my_list.push(element); my_list.append(element);1
Python;DataStructures;Beginner; Hogyan távolítasz el egy elemet egy listából Pythonban?; my_list.remove(element); my_list.delete(element); my_list.discard(element); my_list.pop(element); my_list.remove(element);1
Python;DataStructures;Beginner; Mi a következõ  kód kimenete? my_list = [1, 2, 3] print(len(my_list));3;2;1;4;3;1
Python;DataStructures;Beginner; Hogyan hozol létre egy üres szótárt Pythonban?; my_dict = {}; my_dict = []; my_dict = (); my_dict = <>; my_dict = {};1
Python;DataStructures;Beginner; Mi a következõ  kód kimenete? my_dict = {'a': 1, 'b': 2} print(my_dict['a']);1; 'a';2; Error;1;1
Python;DataStructures;Beginner; Hogyan adsz hozzá egy elemet egy szótárhoz Pythonban?; my_dict['c'] = 3;my_dict.add('c', 3);my_dict.insert('c', 3);my_dict.push('c', 3);my_dict['c'] = 3;1
Sql;Type;Beginner;Melyik adattípus tárolja a lebegõpontos számokat?;FLOAT;INT;CHAR;BOOLEAN;FLOAT;3
Sql;Type;Beginner;Mi a különbség a CHAR és a VARCHAR adattípusok között?;A CHAR fix hosszúságú, a VARCHAR változó hosszúságú;A VARCHAR fix hosszúságú, a CHAR változó hosszúságú;Mindkettõ fix hosszúságú;Mindkettõ változó hosszúságú;A CHAR fix hosszúságú, a VARCHAR változó hosszúságú;3
Sql;Type;Beginner;Melyik adattípus tárolja a lebegõpontos számokat?;FLOAT;INT;CHAR;BOOLEAN;FLOAT;3
Sql;Query;Beginner;Mire használható a SELECT utasítás?;Adatok lekérdezésére a táblákból;Új tábla létrehozására;Táblák törlésére;Egyik sem;Adatok lekérdezésére a táblákból;3
Sql;Query;Beginner;Mire használható a JOIN SQL-ben?;Táblák összekapcsolására;Táblák törlésére;Táblák oszlopainak hozzáadására;Egyik sem;Táblák összekapcsolására;4
Sql;Query;Beginner;Mire használható a JOIN SQL-ben?;Táblák összekapcsolására;Táblák törlésére;Táblák oszlopainak hozzáadására;Egyik sem;Táblák összekapcsolására;4
Sql;Query;Beginner;Mire használható a SELECT utasítás?;Adatok lekérdezésére a táblákból;Új tábla létrehozására;Táblák törlésére;Egyik sem;Adatok lekérdezésére a táblákból;4
Sql;Query;Beginner;Mit csinál a WHERE klauzula SQL-ben?;Szûri a sorokat a megadott feltétel alapján;Összegzi az adatokat;Csoportosítja az adatokat;Rendezést végez;Szûri a sorokat a megadott feltétel alapján;4
Sql;Query;Beginner;Mire használható a JOIN SQL-ben?;Táblák összekapcsolására;Táblák törlésére;Táblák oszlopainak hozzáadására;Egyik sem;Táblák összekapcsolására;4
Sql;DDL;Beginner;Mit jelent az ALTER utasítás?;Egy meglévõ tábla módosítása;Egy tábla törlése;Egy új adatbázis létrehozása;Adatok beszúrása;Egy meglévõ tábla módosítása;4
Sql;DDL;Beginner;Mit jelent a CONSTRAINT SQL-ben?;Egy feltétel a tábla oszlopaihoz;Egy oszlop neve;Egy tábla neve;Egyik sem;Egy feltétel a tábla oszlopaihoz;4
Sql;DDL;Beginner;Mire használható a CREATE utasítás?;Új tábla létrehozására;Adatok frissítésére;Adatok törlésére;Táblák rendezésére;Új tábla létrehozására;4
Sql;DDL;Beginner;Hogyan törölsz egy táblát SQL-ben?;"DROP TABLE tábla_neve;";"DELETE TABLE tábla_neve;";"REMOVE TABLE tábla_neve;";"CLEAR TABLE tábla_neve;";"DROP TABLE tábla_neve;";4
Sql;DDL;Beginner;Hogyan nevezel át egy táblát SQL-ben?;"ALTER TABLE tábla_neve RENAME TO új_név;";"CHANGE TABLE tábla_neve TO új_név;";"RENAME TABLE új_név;";"UPDATE TABLE tábla_neve;";"ALTER TABLE tábla_neve RENAME TO új_név;";4
Sql;DML;Beginner;Hogyan adsz hozzá új adatokat egy táblához SQL-ben?;"INSERT INTO tábla_neve;";"ADD ROW tábla_neve;";"UPDATE tábla_neve;";"CREATE ROW tábla_neve;";"INSERT INTO tábla_neve;";4
Sql;DML;Beginner;Mit jelent az UPSERT SQL-ben?;Adatok beszúrása vagy frissítése;Adatok törlése;Adatok másolása;Adatok átmásolása másik táblába;Adatok beszúrása vagy frissítése;4
Sql;DML;Beginner;Mit jelent az UPSERT SQL-ben?;Adatok beszúrása vagy frissítése;Adatok törlése;Adatok másolása;Adatok átmásolása másik táblába;Adatok beszúrása vagy frissítése;4
Sql;Indexes;Beginner;Hogyan biztosítod, hogy egy oszlopban ne legyenek duplikált értékek?;UNIQUE kulcsszóval;INDEX kulcsszóval;PRIMARY kulcsszóval;FOREIGN kulcsszóval;UNIQUE kulcsszóval;4
Sql;Indexes;Beginner;Mire használhatók az indexek SQL-ben?;Lekérdezések gyorsítására;Táblák törlésére;Adatok másolására;Adatok rendezésére;Lekérdezések gyorsítására;4
Sql;Indexes;Beginner;Hogyan törölhetsz egy indexet SQL-ben?;"DROP INDEX index_név;";"DELETE INDEX index_név;";"REMOVE INDEX index_név;";"TRUNCATE INDEX index_név;";"DROP INDEX index_név;";4
Sql;Indexes;Beginner;Milyen típusú indexek léteznek SQL-ben?;Primary, Unique, és Composite;Only Unique;Only Primary;Egyik sem;Primary, Unique, és Composite;4
C#;Type;Expert;Melyik típus képviseli a karakterláncot C#-ban?;string;char;text;array;string;1
C#;Type;Expert;Mit csinál a 'var' kulcsszó C#-ban?;Implicit módon deklarál változót;Explicit módon deklarál változót;Konstans deklarálása;Tömb létrehozása;Implicit módon deklarál változót;1
C#;Type;Expert;Hogyan definiálhatsz readonly változót C#-ban?;A 'readonly' kulcsszóval;A 'final' kulcsszóval;A 'const' kulcsszóval;Egyik sem;A 'readonly' kulcsszóval;1
C#;Type;Expert;Melyik C# típus nem változtatható meg a létrehozása után?;string;int;float;list;string;1
C#;Type;Expert;Hogyan definiálhatsz konstans stringet C#-ban?;A 'const' kulcsszóval;A 'readonly' kulcsszóval;A 'static' kulcsszóval;Egyik sem;A 'const' kulcsszóval;1
C#;Type;Expert;Mit jelent a nullable value type C#-ban?;Egy típus, amely elfogadhat null értéket;Egy típus, amely csak null lehet;Egy típus, amely nem inicializálható;Egyik sem;Egy típus, amely elfogadhat null értéket;1
C#;Loop;Expert;Melyik C# ciklus alkalmas fix számú iterációra?;for;while;foreach;do-while;for;1
C#;Loop;Expert;Mit csinál a 'continue' utasítás C#-ban?;Átugrik a következõ  iterációra;Befejezi a ciklust;Kilép a metódusból;Egyik sem;Átugrik a következõ  iterációra;1
C#;Loop;Expert;Hogyan lehet kilépni egy belsõ ciklusból C#-ban?;break;continue;exit;return;break;1
C#;Loop;Expert;Mit jelent a nested loop C#-ban?;Ciklus egy másik ciklusban;Egy ciklus megszakítása;Egy ciklus újraindítása;Nincs ilyen fogalom;Ciklus egy másik ciklusban;1
C#;Loop;Expert;Melyik ciklus nem garantálja, hogy legalább egyszer lefut?;while;do-while;for;foreach;while;1
C#;Loop;Expert;Melyik ciklus nem garantálja, hogy legalább egyszer lefut?;while;do-while;for;foreach;while;1
C#;Loop;Expert;Hogyan kezdheted újra a ciklust egy adott iteráció után?;continue kulcsszóval;break kulcsszóval;return kulcsszóval;switch kulcsszóval;continue kulcsszóval;1
C#;OOP;Expert;Mit jelent a sealed kulcsszó egy osztályban?;Az osztály nem örökölhetõ tovább;Az osztály nem példányosítható;Az osztály csak statikus metódusokat tartalmazhat;Egyik sem;Az osztály nem örökölhetõ tovább;1
C#;OOP;Expert;Mi a különbség az absztrakt és a statikus osztály között?;Az absztrakt osztály örökölhetõ, a statikus nem;Az absztrakt osztály nem tartalmazhat metódusokat;A statikus osztály példányosítható;Egyik sem;Az absztrakt osztály örökölhetõ, a statikus nem;1
C#;OOP;Expert;Hogyan deklarálhatsz egy interfészt C#-ban?;Az interface kulcsszóval;Az implements kulcsszóval;Az abstract kulcsszóval;Egyik sem;Az interface kulcsszóval;1
C#;OOP;Expert;Mit jelent a new kulcsszó egy metódusnál?;Árnyékol egy bázisosztály metódust;Új osztályt hoz létre;Egy új példányt inicializál;Egyik sem;Árnyékol egy bázisosztály metódust;1
C#;OOP;Expert;Mi az enkapszuláció C#-ban?;Objektum egyes részeinek hozzáférésének korlátozása;Metódusok és tulajdonságok egyesítése;Osztályok öröklése;Metódusok túlterhelése;Objektum egyes részeinek hozzáférésének korlátozása;1
C#;OOP;Expert;Hogyan deklarálhatsz egy interfészt C#-ban?;Az interface kulcsszóval;Az implements kulcsszóval;Az abstract kulcsszóval;Egyik sem;Az interface kulcsszóval;2
C#;OOP;Expert;Mi a célja az öröklésnek?;Kód újrahasznosítása;Új metódusok létrehozása;Osztályok másolása;Egyik sem;Kód újrahasznosítása;2
C#;Methods;Expert;Mi a metódus túlterhelése (overloading) C#-ban?;Ugyanaz a metódusnév, de különbözõ paraméterek;Több metódus ugyanazzal a paraméterrel;Metódusok különbözõ osztályokban;Egyik sem;Ugyanaz a metódusnév, de különbözõ paraméterek;2
C#;Methods;Expert;Mi a 'params' kulcsszó célja C#-ban?;Lehetõvé teszi változó számú argumentumot;Meghatározza a paraméter típusát;Meghatározza a metódus típusát;Egyik sem;Lehetõvé teszi változó számú argumentumot;2
C#;Methods;Expert;Mi az elérhetõségi köre egy privát metódusnak C#-ban?;Ugyanazon osztályon belül;Ugyanazon névtéren belül;Származtatott osztályokban;Egyik sem;Ugyanazon osztályon belül;2
C#;Methods;Expert;Hogyan valósíthatsz meg több interfészt egy metódusban?;Az összes metódust implementálva;Csak egy interfész metódust implementálva;Nem szükséges implementáció;Egyik sem;Az összes metódust implementálva;2
C#;Methods;Expert;Milyen metódust kell implementálnod egy interfész megvalósításához?;Az interfész összes metódusát;Csak a szükséges metódusokat;Egyiket sem;Csak a publikus metódusokat;Az interfész összes metódusát;2
C#;Methods;Expert;Hogyan valósíthatsz meg több interfészt egy metódusban?;Az összes metódust implementálva;Csak egy interfész metódust implementálva;Nem szükséges implementáció;Egyik sem;Az összes metódust implementálva;2
C#;Methods;Expert;Hogyan használhatók a lambdák metódusokban?;Anonim metódusként;Csak statikus metódusokban;Csak privát metódusokban;Egyik sem;Anonim metódusként;2
C#;DataStructures;Expert;Melyik adatszerkezet garantálja az egyedi elemeket?;HashSet;List;Queue;Array;HashSet;2
C#;DataStructures;Expert;Melyik C# gyûjtemény mérete automatikusan változik?;List;Array;Queue;Stack;List;2
C#;DataStructures;Expert;Mi az a sor (queue) C#-ban?;FIFO (First In, First Out);LIFO (Last In, First Out);Rendezési mechanizmus;Egyik sem;FIFO (First In, First Out);2
C#;DataStructures;Expert;Hogyan mûködik a linked list C#-ban?;Elemei mutatókat tartalmaznak;Elemek közvetlen hozzáféréssel rendelkeznek;Csak tömbként használható;Nem támogatott C#-ban;Elemei mutatókat tartalmaznak;2
Java;Type;Expert;Mi az alapértelmezett értéke egy boolean változónak Java-ban?;false;true;;Nincs alapértelmezett értéke;false;2
Java;Type;Expert;Mit jelent a boxing Java-ban?;Értéktípus átalakítása objektummá;Objektum lebontása;Tömb inicializálása;Egyik sem;Értéktípus átalakítása objektummá;2
Java;Type;Expert;Mi az int alapértelmezett értéke Java-ban?;0;;-1;Egyik sem;0;2
Java;Type;Expert;Melyik típus képviseli a karakterláncot Java-ban?;String;char;text;Array;String;2
Java;Type;Expert;Hogyan definiálható egy konstans Java-ban?;final kulcsszóval;const kulcsszóval;static kulcsszóval;constant kulcsszóval;final kulcsszóval;2
Java;Loop;Expert;Melyik Java ciklus biztosítja, hogy legalább egyszer lefusson?;do-while;while;for;foreach;do-while;2
Java;Loop;Expert;Mit jelent a nested loop?;Ciklus egy másik ciklusban;Egy ciklus megszakítása;Egy ciklus újraindítása;Nincs ilyen fogalom;Ciklus egy másik ciklusban;2
Java;OOP;Expert;Mit jelent a final kulcsszó egy osztályon?;Az osztály nem örökölhetõ;Az osztály nem módosítható;Az osztály nem példányosítható;Egyik sem;Az osztály nem örökölhetõ;2
Java;OOP;Expert;Mit jelent a polimorfizmus Java-ban?;Ugyanaz a metódus különbözõen viselkedik;Több osztály deklarálása;Több objektum létrehozása;Egyik sem;Ugyanaz a metódus különbözõen viselkedik;2
Java;OOP;Expert;Mi az interfész Java-ban?;Egy szerzõdés az osztályok számára;Egy osztály típusa;Egy statikus metódus;Egyik sem;Egy szerzõdés az osztályok számára;2
Java;Methods;Expert;Hogyan deklarálsz statikus metódust Java-ban?;A static kulcsszóval;A final kulcsszóval;A const kulcsszóval;Egyik sem;A static kulcsszóval;2
Java;Methods;Expert;Mit jelent a void visszatérési típus Java-ban?;Nem ad vissza értéket;Null értéket ad vissza;Egyik sem;Hibát dob;Nem ad vissza értéket;2
Java;Methods;Expert;Mit jelent az args paraméter a main metódusban?;Parancssori argumentumok;Változó argumentumok;Konstansok;Egyik sem;Parancssori argumentumok;2
Java;Methods;Expert;Hogyan definiálsz generikus metódust Java-ban?;A <T> szintaxis használatával;A generic kulcsszóval;A implements kulcsszóval;Egyik sem;A <T> szintaxis használatával;2
Java;Methods;Expert;Mi történik, ha egy metódus hibát dob Java-ban?;Try-catch blokkban kezelheted;A program leáll;A hiba figyelmen kívül marad;Egyik sem;Try-catch blokkban kezelheted;2
Java;Methods;Expert;Hogyan biztosítod, hogy egy metódus ne lehessen felüldefiniálva?;A final kulcsszóval;Az abstract kulcsszóval;A static kulcsszóval;Egyik sem;A final kulcsszóval;2
Java;Methods;Expert;Hogyan definiálsz generikus metódust Java-ban?;A <T> szintaxis használatával;A generic kulcsszóval;A implements kulcsszóval;Egyik sem;A <T> szintaxis használatával;2
Java;Methods;Expert;Hogyan hívsz meg egy másik metódust ugyanabban az osztályban?;Egyszerûen a metódus nevének használatával;A this kulcsszóval;Az osztály nevével;Egyik sem;Egyszerûen a metódus nevének használatával;2
Java;Methods;Expert;Mi a különbség a metódus túlterhelése (overloading) és felüldefiniálása (overriding) között?;A túlterhelés különbözõ paramétereket használ;A felüldefiniálás más metódusnevet igényel;Nincs különbség;Egyik sem;A túlterhelés különbözõ paramétereket használ;2
Java;Methods;Expert;Hogyan deklarálsz egy absztrakt metódust?;abstract kulcsszóval;final kulcsszóval;static kulcsszóval;Egyik sem;abstract kulcsszóval;2
